Fail,avgErr,avgMaxErr,less5cmErrTime,less10cmErrTime,less15cmErrTime,less20cmErrTime,details
True,3.918357647130713,6.948072681319991,-1.0,0.74,0.7000000000000001,0.66, A0: 1.974536171984966 P0: 0.10744468778179644 S0: 0.9637227626753749 A1: 9.342347594324567 P1: 0.07440406133553253 S1: 5.165373939361115 A2: 9.844470004680671 P2: 0.10504328302388151 S2: 0.2953533311086089 A3: 1.479020079994649 P3: 0.06658129363979597 S3: 5.323285531382648 A4: 12.570631447366631 P4: 0.09246444964102483 S4: 3.233991041043167 A5: 10.436720764447664 P5: 0.10392246349875058 S5: 5.109562990410428
False,7.071661621037675,12.181416166526974,1.36,1.04,1.0,0.88, A0: 3.579873363492804 P0: 0.09478513638860447 S0: 5.366684429069047 A1: 0.4754798485540497 P1: 0.09516158501186026 S1: 3.837121680462954 A2: 7.285659919679402 P2: 0.06778489149194539 S2: 5.555661950864191 A3: 0.4728103633166354 P3: 0.08916746165894532 S3: 1.5337070048103068 A4: 12.397822718703484 P4: 0.07841678523069882 S4: 0.5883822041012795 A5: 1.3215301599584224 P5: 0.08122043724078146 S5: 1.2059389803490304
True,2.995036408649823,5.506883250816924,-1.0,1.22,1.16,0.96, A0: 4.84753006457407 P0: 0.07478898052746183 S0: 1.646930757714621 A1: 7.430757249549675 P1: 0.0729993472757764 S1: 5.028874355524701 A2: 11.015117320856499 P2: 0.06702666640839892 S2: 3.9254178380036575 A3: 12.778085844761792 P3: 0.11610585787247717 S3: 3.357821644971516 A4: 11.048155232702221 P4: 0.0646120781517581 S4: 3.3232991760631334 A5: 3.2285103665547963 P5: 0.117729142828342 S5: 0.506729594942358
True,3.4744674578277492,6.610686781943455,-1.0,1.72,1.7,1.3800000000000001, A0: 9.678259359636806 P0: 0.11092178717928959 S0: 5.909493766180867 A1: 11.392765771349262 P1: 0.1136556074266453 S1: 3.121940126528782 A2: 12.235500082978032 P2: 0.07184301597258388 S2: 0.6910527492767613 A3: 1.9644709938274896 P3: 0.06264835713871532 S3: 1.1235078002845105 A4: 4.329531165304129 P4: 0.09874565916650363 S4: 2.3679555467066344 A5: 7.652600214832491 P5: 0.0685112106787213 S5: 4.194820901981729
False,30.70480373574454,48.916633814122875,-1.0,0.92,0.9,0.7000000000000001, A0: 3.487073470188552 P0: 0.07763765058294324 S0: 3.4211995248043174 A1: 4.298414393122499 P1: 0.09693694141980085 S1: 3.6628793504437844 A2: 6.733400790553693 P2: 0.10004434666627035 S2: 2.7762258751590525 A3: 1.6887496948810314 P3: 0.10322317894070726 S3: 0.7139909078173751 A4: 3.6234390618327144 P4: 0.10830498709228616 S4: 3.7725837096040955 A5: 11.390358799649965 P5: 0.08474235857140948 S5: 1.0652284924805309
True,1.8437476050747628,3.5652285842518205,-1.0,-1.0,-1.0,-1.0, A0: 1.3829680043589847 P0: 0.06823019687373218 S0: 1.582262880701314 A1: 6.112772593651041 P1: 0.08366837416469561 S1: 5.359333371435617 A2: 10.917590970056173 P2: 0.08599198362181378 S2: 0.29950946623531005 A3: 10.693616150613718 P3: 0.0904653006057282 S3: 0.6059824667101217 A4: 12.794158018561935 P4: 0.11825246449791671 S4: 1.8748045050911308 A5: 4.905999240624711 P5: 0.06975231767966499 S5: 1.2601392021904732
True,1.691268932730929,3.115580003469898,-1.0,-1.0,0.6,0.56, A0: 8.36796825591595 P0: 0.1013610858394709 S0: 4.5277718394786355 A1: 12.310335442826231 P1: 0.0931069500355992 S1: 0.8703321936424956 A2: 1.6442193763828763 P2: 0.07837796845067305 S2: 0.11258977611274675 A3: 12.201910230581031 P3: 0.1192400109575052 S3: 5.338389022489384 A4: 12.890204307167165 P4: 0.11215593241337872 S4: 2.828766966531809 A5: 4.77930604543296 P5: 0.08083662505984178 S5: 1.5314820854650275
False,8.66996927460608,14.557434561409478,3.22,1.42,1.34,1.16, A0: 8.188979753700972 P0: 0.09863465429061016 S0: 2.4680340242119447 A1: 8.384213887890777 P1: 0.060328824128498715 S1: 2.538319605587365 A2: 4.350194150432158 P2: 0.10334675167514269 S2: 0.6510202400207826 A3: 1.5013700559750496 P3: 0.11644240764268855 S3: 1.122858051534106 A4: 8.567664345629339 P4: 0.10390550081341127 S4: 5.181276935021449 A5: 10.839605848400396 P5: 0.062282975439706526 S5: 2.2294640655129454
True,1.4402228651458917,3.2212098781220337,-1.0,0.9,0.8200000000000001,0.78, A0: 10.091342715504931 P0: 0.11852968036033978 S0: 5.363888653026109 A1: 11.948477424420986 P1: 0.064286761764923 S1: 2.666176250815141 A2: 2.195180177644856 P2: 0.06682647012140981 S2: 2.491252539363614 A3: 7.2566000265539845 P3: 0.09690027233852325 S3: 3.453224171214477 A4: 10.120153579030871 P4: 0.09061884406283767 S4: 1.683325571052795 A5: 10.724783426786932 P5: 0.10437449533662606 S5: 4.072428288758663
True,1.1871704348140466,2.425088013821138,-1.0,-1.0,-1.0,0.64, A0: 9.790165347237012 P0: 0.09483750009658215 S0: 0.8394801345408933 A1: 8.607320067323553 P1: 0.06027470124102566 S1: 5.526936647388245 A2: 8.503448506458925 P2: 0.0783460106200725 S2: 1.8114186412338573 A3: 9.078106291755176 P3: 0.08447192762560826 S3: 4.062102450916694 A4: 4.58222209814806 P4: 0.0809151698583133 S4: 2.9580338772373325 A5: 5.0383636413826505 P5: 0.08113078122704817 S5: 1.7378117641935993
True,1.415225078705311,2.8518488087205456,-1.0,-1.0,-1.0,-1.0, A0: 9.53441253278624 P0: 0.10117246699864618 S0: 1.5280839174300362 A1: 6.053045366342253 P1: 0.08848718170797307 S1: 1.6054022053156987 A2: 9.055675640757245 P2: 0.07279133156756382 S2: 4.758288569928718 A3: 12.039015113104131 P3: 0.07534162446830979 S3: 5.170058838640012 A4: 5.202642031984599 P4: 0.11200595256302281 S4: 1.0414821594449708 A5: 7.050603017711335 P5: 0.08106558118081371 S5: 2.5896647443909937
False,20.124243958087245,30.754070769542246,14.22,13.06,12.32,11.040000000000001, A0: 12.229602707299536 P0: 0.08692537789775309 S0: 1.4319812334625492 A1: 3.6719909914370357 P1: 0.11761634654788541 S1: 1.967351777749316 A2: 12.501274993131604 P2: 0.08650941269511772 S2: 5.19256264814936 A3: 0.25593513508544075 P3: 0.06201348948842307 S3: 0.5215841189573143 A4: 3.030852675714977 P4: 0.06906343290811723 S4: 4.308096617898892 A5: 11.428744532089965 P5: 0.06130820459496697 S5: 0.361285817789603
False,16.906958558861938,27.592462772809196,13.46,1.1,0.88,0.8, A0: 4.7467333945791985 P0: 0.06062141165968314 S0: 1.5880278868165318 A1: 12.646179905497819 P1: 0.08721657921681052 S1: 3.9845143017615112 A2: 2.0289125321694454 P2: 0.1123322065969946 S2: 0.8932878969070271 A3: 3.248690539530282 P3: 0.07982637311660834 S3: 5.890200890288147 A4: 1.47856203760775 P4: 0.11426368749362716 S4: 3.2550153973500664 A5: 6.540586959680081 P5: 0.08130848602089251 S5: 4.198026171132452
False,29.90126845556922,46.05708161297078,-1.0,1.04,0.76,0.72, A0: 0.32271313277952374 P0: 0.10967118631301803 S0: 0.4937586973050239 A1: 5.291676671362414 P1: 0.0705221226961539 S1: 1.9073671709010869 A2: 7.955392471371653 P2: 0.08719093148745656 S2: 5.696175850717307 A3: 6.492125171381084 P3: 0.1007631420463818 S3: 5.356403890099309 A4: 3.723683398114402 P4: 0.10957899156430988 S4: 1.0160574133446503 A5: 8.249231213519854 P5: 0.10923576757286209 S5: 4.484779715628298
