Fail,avgErr,avgMaxErr,less5cmErrTime,less10cmErrTime,less15cmErrTime,less20cmErrTime,details
False,7.2381820568512625,12.413551199604147,0.84,0.8200000000000001,0.74,0.66, A0: 9.424650612614663 P0: 0.032275736302450536 S0: 0.6592723041559106 A1: 9.49216840816548 P1: 0.04523396348842572 S1: 0.34495236453784445 A2: 6.776991744395116 P2: 0.04766860831084967 S2: 2.433373240702961 A3: 5.8355495416317105 P3: 0.03388539308076532 S3: 1.4084080043685967 A4: 6.367580870758861 P4: 0.033426814631869674 S4: 5.677869787139162 A5: 5.6584553817374745 P5: 0.04735976252612171 S5: 1.8863253211974595
False,6.467118234180882,11.634370021452531,2.36,0.84,0.8,0.78, A0: 0.31789436055610343 P0: 0.04603777120055323 S0: 3.788604574305717 A1: 3.55057085357808 P1: 0.05075112755707478 S1: 3.2500292543936276 A2: 1.462546510509331 P2: 0.05379517637532133 S2: 2.6042712119103433 A3: 1.560853503770197 P3: 0.040453699205466424 S3: 1.8289400455464777 A4: 6.241438719477497 P4: 0.0510844974327848 S4: 6.064787562834848 A5: 11.864706414646223 P5: 0.040160644509811536 S5: 0.9685482672322544
False,7.609048031112529,13.335614049861448,3.58,1.16,1.12,1.08, A0: 6.31042621899634 P0: 0.04624435160211006 S0: 1.7576261861140043 A1: 1.4247374899964163 P1: 0.05936458587097707 S1: 6.204406702347239 A2: 0.08436722730333934 P2: 0.046136338585537146 S2: 2.327283606088239 A3: 6.023150449521504 P3: 0.050638854051741226 S3: 1.3138402912916205 A4: 11.706360006162287 P4: 0.04227806737958008 S4: 3.5097887900535754 A5: 9.071941011944016 P5: 0.05279509748340836 S5: 1.2863774788106066
False,7.232768475431536,12.90352409859779,2.8000000000000003,1.1,0.98,0.9, A0: 1.7566396428076358 P0: 0.052988030993215876 S0: 5.545359043446187 A1: 12.505457746984927 P1: 0.05203779210660756 S1: 5.3659905913156605 A2: 3.9479644114815855 P2: 0.03338984811198915 S2: 0.9142819198741898 A3: 9.620109867027239 P3: 0.04718546907261971 S3: 1.1127990750810217 A4: 2.2936470373513376 P4: 0.03591307220379387 S4: 4.650127182821184 A5: 4.567390896283204 P5: 0.053611263922159015 S5: 0.09697600044938176
False,7.306307879768008,12.66412233188642,4.28,0.8200000000000001,0.8,0.74, A0: 0.2964331191206889 P0: 0.05183454349758008 S0: 0.08781395868701544 A1: 1.0450981209692243 P1: 0.05731809248972488 S1: 2.150510212546292 A2: 1.8701800219953921 P2: 0.04450812086956443 S2: 4.811703758499402 A3: 5.418487096914692 P3: 0.059743936413551836 S3: 2.7834818971629245 A4: 12.547490884349353 P4: 0.03544112561883547 S4: 4.363799893053605 A5: 12.760723177633238 P5: 0.049946883426040145 S5: 5.334656036010468
False,5.920685369296018,10.552143510662896,2.48,1.44,1.1,1.0, A0: 4.805598448006146 P0: 0.0457938864481299 S0: 0.555523302747127 A1: 0.22846796189544993 P1: 0.05147085585899018 S1: 3.244706358582504 A2: 4.193946604389564 P2: 0.05536351425768734 S2: 0.9554775572699633 A3: 3.4495870018792703 P3: 0.047883498654961186 S3: 2.35421594535406 A4: 5.740105381626916 P4: 0.03032718070856616 S4: 4.950642752885831 A5: 2.019025259502042 P5: 0.04774143409556493 S5: 2.7178512825187493
False,7.244027335443508,12.261860919083642,3.0,0.8,0.76,0.7000000000000001, A0: 12.009881484169952 P0: 0.03454457231249222 S0: 3.1768537914729964 A1: 8.81725769641233 P1: 0.04652967923958431 S1: 4.890635332388015 A2: 2.706706396378247 P2: 0.040631138873813845 S2: 4.659568173526101 A3: 4.358439944451089 P3: 0.0599991895684235 S3: 6.209365408538146 A4: 3.003358703847658 P4: 0.05734532001902415 S4: 2.3940494665087875 A5: 7.064805148197539 P5: 0.049762224528905316 S5: 0.27933120986526855
False,8.907399882889882,15.218360351075466,1.48,1.46,0.98,0.96, A0: 10.55085772757911 P0: 0.04008159832660328 S0: 1.256984610738551 A1: 10.180281398514262 P1: 0.05372387099186289 S1: 6.16545235082415 A2: 8.940433211091394 P2: 0.05463624672408993 S2: 5.330579880255139 A3: 10.562398035420644 P3: 0.03029381782150921 S3: 3.847755025520308 A4: 5.7420520806036555 P4: 0.038080470538948245 S4: 1.2598926602466365 A5: 4.788018343862649 P5: 0.04311732592902256 S5: 1.1673248648351757
False,7.387895152107754,12.536492170432073,1.78,0.92,0.88,0.74, A0: 3.9717361670547655 P0: 0.047146226028191754 S0: 4.166658651540938 A1: 12.70201681943742 P1: 0.03537449188352952 S1: 2.384932559522696 A2: 10.725750196146626 P2: 0.038699700866646335 S2: 5.4459824740483 A3: 2.787841328588127 P3: 0.057068837201928 S3: 3.6936420946074806 A4: 10.885346987885828 P4: 0.047251918470393416 S4: 1.4843258300414437 A5: 9.13775327778006 P5: 0.04670689510968193 S5: 4.266067577988045
False,7.270439237545233,12.687163437164692,2.08,0.86,0.84,0.78, A0: 2.082792555715897 P0: 0.058767252657066026 S0: 4.982240350089193 A1: 11.997755100645154 P1: 0.04692739086655865 S1: 6.196047261362601 A2: 4.481861438995651 P2: 0.041173118497786244 S2: 5.331117660127786 A3: 4.095860813210794 P3: 0.03363304924381894 S3: 4.996617236150439 A4: 7.250927069198439 P4: 0.035366102989658324 S4: 2.577662591229606 A5: 4.337128493016693 P5: 0.053429703170625856 S5: 1.9844807376884737
